Username,waktu,Komentar,Rating
Reisy Studio - Lofiversan,2023-05-08,voice server putus terus gabisa open mic dan sound bagaimana cara selsaikan,1
freddie ghiee,2023-05-08,kalau setiap rank sudah tinggi sinyal lemah sering sambung ulang sampai keluar dari permainan rank jadi turun dan ada timbang masalah jadi ulang main semakin bosan ketemu server lemah dan jengkel main gagal muat sinyal dari servernya teman pun masalah rupa kembang terlalu banyak untung dari jual tapi gamenya semangkin parah gela tolong baik jadi malas sekarang main codm lagi setiap main mode br waktu menit sering keluar dari permainan,1
Agus Munawar,2023-05-07,total memory permainan hampir gb tapi sempurna untuk main,5
Ghifar Bae,2023-05-07,permainan nya sudah bagus hanya yang kurang kalau ngasih tim yang seimbang jangan kasih yang seimbang itu buat player malas untuk main sama kasih musuh yang seimbang sama kemampuan main kita jadi malas buat main,3
Zerox Demon indo,2023-05-07,bug ketika tembak musuh tiba tiba mati sendiri player saya lalu bug loncat sendiri lalu bug jostick susah kendali,3
Kian Asep,2023-05-07,gila memang permainan keren banget sudah tolong nya kalau misal main rank kalau menang tambah cpb,5
Azzikril Ilham,2023-05-07,gamenya bagus Hanya pertarungan royale sering ketemu musuh one shoot kill padahal nyawa,5
Lia moms Rendra,2023-05-07,permainan fps keren grafik nya bagus sangat dan gamenyabagus,5
Asep Nurkosim,2023-05-07,sudah tahun saya tinggal ini permainan semakin semakin hancur iya bug ads nya gil padahal sudah pakai hp poco ram gb masih saja ada bug banyak pula emng permainan bukan rekomen buat hp daripada emosi lebih baik jangan install semua aplikasi deploment garena pada jelek banyak bug ada baik server banyak skin saja tapi server hancur o memang permainan itu tuju buat jual skin saja iya permainan play nya bagaimana ada baik sudah tahun lebih loh garena,1
Usep Gaming,2023-05-07,jujur suka sangat sama gamenya bagus grafik Hanya saat saya sudah main dan buka aplikasi lain kok tiba tiba layar hitam dan tidak bisa buka mohon bantu jawab atau kasih tips supaya bisa login,5
Tactical Nuke,2023-05-07,permainan nya sudah bagus hanya saja berat aplikasi sangat berat hingga simpan saya penuh mohon untuk hapus map yang berguna dan skin yang perlu skin common dan lain lain dan kalau bisa mohon baik untuk masalah jaringan agar yang jaringan bagus bisa main permainan juga saya kasih bintang  sih tapi iya saya kasih bintang karena bagus,4
Rifqi Fauzi,2023-05-07,bug nya sangat parah jaring ok dan sudah download data pas in permainan senjata ada gambar baner nya di tambah saat pertarungan royal saya dapat senjata sama sekali padahal tempat yang sama temen dapat senjata mohon baik,2
Achmad Hisyam,2023-05-06,gamenya begitu senang dan ser hanya developer codm perlu fixed beberapa bug saja yang lain sudah manta,5
Vyandra Abdillah,2023-05-06,saya kalau main sering keluar sendiri yang akibat reload hadap aplikasi nya padahal device mumpuni dan internet lancar menggangu sangat saat main dengan seru semakin keluar,2
Ripqi,2023-05-06,please lah bang jangan sering update lama hp saya rusak ini bang sudah banyak event buat marah saya kata permainan santai bang bisa mainnin hp kentang kenapa suka ngelag ngelag tidak puas saya ini bang saya mau codm yang dulu bang kembaliin dong bang tapi senjata baru yang bagus jangan hapus kalau bisa,2
Muhamad yusuf,2023-05-06,masalah jaringan selalu buruk mau lobby mau permainan sama saja tunggu terus bagaimana bisa mainkan nya padahal sudah pakai jaringan seluler sudah cepat sangat sinyal nya masih saja begitu,1
"D I D I “Di2” Gang 3,ga ada yang laen",2023-05-06,semakin susah masuk periksa internet melulu padahal wifi bagus permainan lain bisa masuk eh yang tidak bisa coba nya tetap alasan nya hubung internet bodoh sangat permainan,1
Abdul Mukti 98,2023-05-06,server saat war tolong baik bug timeout login dan yang lain,2
Aldi irfan syahputra,2023-05-06,setiap buka pasti gagal download selalu terus keluar padahal pakai wifi,1
Kindzaki,2023-05-06,aduh sebenernya gamenya bagus bagus saja sih hanya karena banyak tambah skin skin serta update yang terlalu lebih gamenya buat ukur gamenya benar benar bengkak kalau banding sama awal rilis jadi iya mau bagaimana lagi permainan kalau mau bilang support chipset midlow iya support support saja hanya iya itu ukur yang tidak tahan,3
UZQueen,2023-05-06,updt nya bagus terus juga banyak hadiah gratis tapi matchmaking nya turut saya rusak sangat soal setiap matchmaking musuh itu beda jauh sangat level sama saya jadi rasa semakin rusak matchmaking nya begitu,2
FEGA R,2023-05-06,ukuran gamenya terlalu besar turut saya jadi bagi kalian yang milik ruang simpan yang sudah sedikit jangan download permainan karena permainan sudah sizenya besar dan permainan berat overall permainan turut saya permainan fps yang bagus sih dari segi grafik,3
SAM WIL,2023-05-06,jadi apknya yang ngebug atau apa iya kenapa tidak bisa login kalau pencet login facebook log error sama yang lain juga tolong hp saya atau memang apknya,2
bejo subejo,2023-05-06,saya tahun main permainan ini makin kesini koneksi semakin payahbenerin servernya donkcapek main permainan ini capek terus update capek tidak bisa loginudah saya pensiun saja dari permainan,1
faqih Muhammad,2023-05-06,aku kasih bintang karena aku kalau main kasih yang susah mohon kalau kasih lawan itu yang level nya sama player,1
Nayakatulistiwa,2023-05-06,mode zombie sekarang setiap ganti wave selalu ada fps drop tapi waktu tengah jadi normal kembali ini bulan kemarin padahal lancar saja optimisasi dong,2
pariz gaming,2023-05-05,masih sering lag padahal wifi sudah nyala,5
Iqbal Alfarizi,2023-05-05,tolong baik bugnya untuk login permainan sekarang jadi susah,3
Adli 123,2023-05-05,sih harus update terus hampir setiap minggu memang memang sedikit kalau pakai kuota terus saya minggu harus punya gb kuota memang itu tidak boros coba kecil update tan biar yang tidak punya wifi bisa lebih nyaman,3
Armando Doank,2023-05-05,permainan terlalu lama login karena banyak yang harus didownload dan update nya besar jadi malas main masih lebih baik freefire,1
azhar,2023-05-05,jujur trakhir main akhir  pensiun tahun sekarang bru bln install lagi sbelum main itu dulu mantan user pubg karena dulu ukuran pubg besar sangat pindah kesni tapi bln belakang awal install Cuma gb iya sudah pasrah semakin kesni kok gb gila parah sangat sumpah setiap habis up pasti download lagi smua nya baik skin senjata org maps dan lain lain alhasil bisa bertambah lagi gb yang saya heran mau sampai besar apa permainan ukuran nya gb sampai smua user pindah dulu bru benah sudah banyak loh keluh ttg ukuran,3
Maulana Botak,2023-05-05,permainan nya bagus hd cocok untuk kalian yang ingin main permainan hd,5
rangga,2023-05-05,saya harap untuk dapat simpan skin yang sama slot di tambah juga untuk jual shop atau trade untuk teman saya rekomendasi sekali mohon tinjau terima kasih,5
Nazala Rizqi,2023-05-05,permainan rusak saya main mode multiplayermatchmaking seimbang dan berat belah tim selalu temu dengan server luar dan bodoh bo sedang saya server indonesia sangat kecewa,1
Ahmad Hafidz Aditya Jati,2023-05-05,permainan aneh masa main tembak tembak senjata mele nya one hit one kill nerf lah,1
Drag Boz,2023-05-05,saran wajib dari saya yang harus segera laku oleh pihak codm semakin naik rank musuh semakin mudah setiap match match musuh bot saja dan match lain musuh bot dan orang skin tanpa perlu beli cp jika saya report orang player yang tereport langsung ban jam perlu cek ngecheat apa enggak,1
Jajang Nurjaman,2023-05-05,dulu masih bisa main cod sekarang tidak bisa padahal device masih sama ruang simpan gb masih ada tapi saat nginstal tidak bisa selalu tolong kecilin ukuran nya biar bisa main saya main saat awal awal blom ada season,3
O'Ong Doang,2023-05-05,permainan ngentod padahal musuh nya tembak tapi die semakin tembak angin tapi semakin kena badan permainan bangsat tidak usah buat permainan kalau ngebug sia sia saya donwload permainan yang mau donwload jangan donwload karena ngebug,1
Samuel Tampubolon,2023-05-05,permainan nya bagus tapi sudah mulai jauh dari segi militer dan ukuran sedikit besar gantung kapasitas hp overall sudah bagus lah untuk kelas mobile oh iya sekali tambah map kino der toten buat map zombie terimakasih,4
cap poenk,2023-05-05,banyak hal bobrok alcatras fire sering buntu map low respon dari respow terjun selalu nyungsep tombol kontrol bagi hilang lost signal dan masih banyak yang tidak pernah benah sejak dari awal rilis kalau masalah jaringan atau provider yang berguna tidak perlu diributin karena jaringan kita stabil lumayan mbps yang penting segera benah bug internal gamenya,1
jiwartana jiwar,2023-05-05,kan main tapi mikirin memori internal permainan terlalu besar sampai gb tolong mungkin ada buat versi lite atau bagaimana cara karena terlalu banyak skin yang pakai,3
Samlekom Mamang,2023-05-05,rangin player yang main curang masa main turnamen br ada yang cheat musuh tidak lihat jarak jauh tembak tidak kena tapi bisa mati,3
Asyila Altaf Ramadhani,2023-05-05,gamebego banyak bug nyak error terus dan tiba tiba ngelek hp bagus sinyal bagus tiba tiba permainan nya langsung ngelag sendri bodoh,1
Slamet Riyadi,2023-05-04,senjata keren keren terus equipment senjata bisa dapetin dari naik level saja,5
Orang gabud hehe,2023-05-04,gm itu rank tinggi atau rendah sih tim saya seperti bot sangat sedang musuh pro sampai bisa one hit dari ujung map,1
Ilham Maulana Ismail,2023-05-04,gamenya bagus tapi sering nge lag iya sinyal atau simpan yang lebih tolong baik gamenya,3
Rama Frextzツ,2023-05-04,untuk ram gb padahal karakter sudah kedownload masa ketika di pakai musuh tidak lihat semakin jadi karakter bot yang Hanya lihat skin senjata saja tolong dong kembali mula agar nikmat main codm nya,5
Komar Ncel,2023-05-04,benarkan lah login nya saat main mpbr lancar youtube juga lancar instagram tiktok login permainan lain pun lancar login nya susah sangat banyak kendala alasan jaringan padahal buat yang lain kuat saja lancar semakin,1
Irvann Nur choliq,2023-05-04,update sekarang sering force close grafik unlock sampai high tapi saya setting low tetap saja fc terus,2
Leonard Aren Young,2023-05-04,dari segi main sih sudah bagus Hanya kendala Hanya jaringan terkadang saat main tiba hubung server padahal saya pakai wifi rumah tolong developer baik jaringan,3
Gunawan Wicaksono,2023-05-03,habis baru mau login pakai wifi semakin tidak bisa bisa heran,3
Agus Maryon,2023-05-03,mode attack of the undead prop hunt zombie adalah mode yang sangat buruk lebih buruk kita paksa untuk main,1
Rs surendeh VARO,2023-05-03,permainan jelek saya login akun lama saya tidak bisa dan juga bind akun saya fesbook juga tidak bisa,1
rizky arifin,2023-05-03,lumayan bagus sih optimasi yang sekarang main mp jadi sedikit ringan dan tidak terlalu lag tahan iya,4
L _Kun,2023-05-03,sumpah paling kesal setiap update pasti harus download semua resourch dari skin senjata karakter ma dllkalau ukur brapa ratus mb saja mah tidak papaiya sih kita bisa download beberapa yang kita suka doangtapi rasa sangat kalau setiap bulan selalu update seperti giniyakin sangat sih yang main permainan pasti Hanya  bulan doangkalaupun ada yang lama paling juga mereka mereka yang sudah ngerasa pro dan selalu menang setiap permainan yang padahal yang dia lawan bot pmain lag gegara hpnya kentang,1
Macro Mover,2023-05-03,semua bagus tidak ada ngelag tapi masalah filenya karena bisa sampai gb lebih tapi overall bagus  hanya kalian butuh hp yang memory internal gb,5
VERONA Fx,2023-05-03,jauh sudah bagus keren grafik puas gameplay nya juga keren tutorial mudah erti event nya banyak ingin saya  tambah replay kill pertarungan royal moment mvp multi player,5
Abdul Hafiz,2023-05-03,tombol sering fungsi saat temu dengan musuhbenar sangat ganggu,1
Salman Alfarisyi,2023-05-03,mohon maaf kepada developer saya setiap mau naik pangkat legendary multiplayer dapat musuh nya yang jago sedang tim saya yang bawah rata rata saya mau nya dapat nya yang seimbang jadi losestrek terus kalau tentang fps gameplay grafik mantap semoga segera seimbang kan musuh dan tim nya terima kasih selsaikan percaya,2
Mkelvinr TKRB,2023-05-03,alhamdulillah sudah ganti device sekarang bisa main dengan lancar tapi tidak cukup sini saya akan ulasan kembali untuk update depan,5
AKHMAD ZULMI,2023-05-02,sering force close pada device infinix note  tolong baik permainan lain lancar dengan data berat selain codm semakin sering force close baik lobby maupun saat match langsung,3
Me Zoid,2023-05-02,develop please untuk pering ringkas memori masa habis download download resources gb mb belum kalau sudah masuk permainan nya dowload total gb hanya untuk skin dan shop event hadu saya suka permainan tapi memori cekik by the way aku masu aktif main tolong baik iya developer pli untuk memori di ringanin,5
VerdycoYA,2023-05-02,tolong baik sistem matching yang seimbang pada mode ranked mp player musuh terlalu kuat sedang player team sendiri lemah dan tolong larang berguna sniper rifle ranked bomb mode karena terlalu repot dan juga baik bug damage yang masuk musuh padahal sudah tembak duluan tapi masih tetap kalah saat hadap face to face,3
Sinyo Sinyo,2023-05-02,saya temu bug mana nickname saya ubah jadi huruf angka dan karakter jelas serta saya bisa rubah nickname saya sebut mohon fiks,4
Rafif Nabil,2023-05-02,bagus sih tapi setiap mau main selalu keluar sendiri padahal memori ram sisa banyak,3
Hafiz Fiz,2023-05-02,tidak bisa buka permainan nya tolong dong baik permainan nya,2
Lan Gaje,2023-05-02,gamenya lumayan lah rating lebih ini permainan grafis nya oke mudah main tidak terlalu maksiamal hp kentang minimal ram main hp inioke lah dan semoga developer urus bug demegenya dan banyakin event bagus bagus oke terima kasih,4
Sahroni 86,2023-05-02,setiap login harus download mulu bikin data perangkat semakin besar padahal Hanya tampil saja yang ubah,5
Reyma Mahardi Putra,2023-05-02,sudah bagus permainan nya hanya saja masih dapat beberapa bug bug slide bug scorestreak bug aim flich,5
ABABIL GEMING,2023-05-02,keluh saya ini permainan sering timeout terus padahal sinyal internet bagus mohon developer tolong baik,1
Khalid Khalid zaid,2023-05-02,tolong baik karena saya jaringan nya sudah lancar tapi masih lag tolong baik iya nanti saya kasih bintang lima,4
Asep Hariadi,2023-05-02,permainan bagus top lah saran kalau bisa tambah map pada pertarungan royale masa Hanya ituitu saja  buat cepat bosan kalau bisa jangan besar untuk simpan nya semakin lama semakin berat dan buat hp lama tunggu map baru nya segera terimakasih,5
Serj Tan Khoyan,2023-05-01,ada apa sih developer jni hp saya tidak kentang kentang sangat kalau kenapa suka keluar selalu saat mao main untung blom play match bagaimana kalau sudah playmatch ngomel tim yang ada tolong lhh,2
komang krisna,2023-05-01,permainan apa dikit dikit mes dikit dikit mes padahal sudah kill banyak ff walaupun jelek sistem rank nya masih bagus daripada cod,1
Yunus Ansar,2023-05-01,saya dapat bug yang sangat ganggu untuk saya yaitu gagal log in atau gagal donwload konfigurasi sampai saat saya blum dapat cara untuk baik,1
Darell Daffa R,2023-05-01,turut saya permainan bagus dari grafiks nya seperti asli sangat terus skin nya bagus tapi yang kurang adalah ada legendaris gratis pertarungan saat nya iya itu saja dari aku bye,5
Toyib Bang toyib,2023-05-01,woi ngapa login timeout woi kok dak pacak main normal agik ngapa harus login terus pencet pencet itu langsung masuk saja bisa tidak s buat login yang benar napa ngapa harus seperti begitu,1
Dzaky Adyatma,2023-05-01,saat saya main ini permainan nya sering lambat padahal internet lancar semua terus gamenya saat sudah nyampe grandmaster kasih nya yang susah plz deh gamenya tidak usah lambat kalau sudah grandmaster musuh kasih yang normal saja garena garena,2
Dikara Nadhif,2023-05-01,permainan yang saya cari cari sih dari dulu sampai sekarang grafik hd sangat senjata lengkap skin bagus bagus tapi suka ada bug terkadang suka lambat padahal sinyal bagus,5
ZX GRIZZ,2023-05-01,semakin update semakin bagus gamenya tapi permainan nya tambah rasa berat event event nya tarik sangat untuk ikut dan ringin colab sama anime atau kartun karena itu sangat tarik sangat dan satu lagi animasi br saat pesawat aku lebih suka yang dulu sih dan animasi cari main mode mp saya lebih suka yang dulu sih lebih baik ganti yang dulu saja terus beri opsi lodout terimakasih codm sudah hibur saya lama semoga depa semakin baik,5
Wildan Ihsan,2023-05-01,permainan sudah bagus dan realistis tapi tolong dong untuk event zombie br yang dulu hadirin soal rindu sangat,4
Nathaniel Deandre,2023-05-01,kalau bisa buat map lain kalau sedikit sesungguh dikit lah ada map yang turut saya tidak enak sangat untuk masukin rank apa dari sisi balance banyak orang pakai sniper yang mereka laku hanya hard scoping jadi susah kita untuk maj,2
Hunters,2023-05-01,overall gamenya turut sudah oke semua tapi tolong untuk bagi efek improve biar mirip sama cod warzone,5
Prastya Dirgantara,2023-04-30,sistem codm hp saya spek bagus tapi kalau main bunyi tolong baik,5
Ibnu BRKHreal,2023-04-30,tolong jangan bntar update bntar update minimal bulan sekali lah jangan minggu bisa kalau saya hapus kalau update terus setiap minggu,2
Surya Harahap,2023-04-30,mantap permainan nya seru tapi kalonspin susah hoki saya mau dapat wangi wangi,5
natsu yasumi,2023-04-30,sudah gamenya update semakin download data skin senjata,1
NOVAN ERIRAMADANi12,2023-04-30,sering keluar sendiri tidak jelas padahal tengahtengah war mode cs tolong baikin sesungguh sudah bagus tapi itu saja padahal sudah capekcapek beli hp spek nya bagus buat main permainan semakin sering keluar sendiri,5
Zuldan,2023-04-30,permainan nya saya suka sangat dengan harap depan cod pindah warzone please masih ada kenapa yang main,5
Farrel Gezhq,2023-04-30,banyak yang ngomong lawan tidak setara iya latih lah itu tuhkalian saja yang noob saya dari awal codm rilis sampai sekarang ganti aku tidak ada itu yang musuh tidak setara,5
Reyhan Chandra Adi Wiranata,2023-04-30,lancar fps hp redmi note  settingan grafik low frame rate high grafik low nya tidak jelek lumayan bagus recommended main permainan,5
M. Faiz Ar-Ra'uf,2023-04-30,pelit sangat sih permainan padahal sudah top up banyak sampai tabung habis tapi belum dapat juga,3
Achmad Fajar,2023-04-30,apa ini sering force close sendiri sudah last update,1
GRADY OKYB,2023-04-30,permainan nya sudah tidak seru dulu lagi dan sekarang permainan nya banyak nerf dan buat bertambah stress karena musuh jadi jgo smua karena ada sytem snjata yang buff dan nerf dulu tidak seperti begini ada sytem dl saya juga jgo dan have fun karena suka pakai senjata suka saya dan bisa kuasa nya tapi sekarang semakin jadi pusing dan susah karena ada sisytem nerf buff apalagi saat update smua file yang saya download semakin reset dan semakin ulang lagi download file yang sudah saya download jadi malas karena skin ganti jadi default terus,1
Enom Werzt,2023-04-30,serah permainan tiba ngebug sensivitas standar bisa gerak br training ground tombol hud setting beda posisi dengan yang dalam permainan play ada apa semakin ada bug asa kemarin ada sekarang ada tolong segera baik saya mau push bp terimah kasih,1
Tam Tam,2023-04-30,dear garena yth rank peringkat pertarungan royal saya sudah grandmaster tapi saya selalu temu kendala ketika login selalu update dan banyak makan kuota dan simpan harus nya ram gb gb itu sanggup tapi sayang tidak tiap ada event baru harus update dan harus ngedownload aset ulang jika tidak dukung android lebih baik jangan rilis google playstore ini sangat rugi kemarin saya kasih ratting bintang dan sekarang turun jadi bintang very bad,1
nicky sbth,2023-04-29,bisa logizln sangat kecewa saat buka pasti timeaot terus kecewa sekali,1
agus sugiartono,2023-04-29,permainan makan waktu lama saat masuk dan banyak berguna data saya sudah uninstall permainan karena setiap saat harus upgrade dan lama untuk masuk permainan payah dan rekomendasi ingin cari hibur semakin habis waktu habisin sia sia terimakasih selsaikan bodoh,1
Mhd Maulana,2023-04-29,bisa berguna jepang baru nginjak jepang pakai wifi kan login tiba tiba kalau tidak salah,1
Alinggajaya Putra,2023-04-29,susah sekali untuk login setiap hari login pasti harus ada yang download dan harus tunggu kalau lebih loading aset yang sangat sangat lama hampir tengah jam saya tunggu agar bisa login permainan,1
Rizki Aditya,2023-04-29,iya permainan nya sih lumayan memang lumayan tapi yang sedikit berotak dikit lah kalau ngasih musuh rank masa saya pro ketemu musuh yang rank nya legendary selsaikan saya auto lose deh tapi yang lain nya bagus edit saran saya Hanya satu sistem match adil yang sesuai dengan rank saya,5
mahesa sinulingga,2023-04-29,halo developer terima kasih untuk buat permainan oh satu developer tolong kasih event gratis untuk player gratis dong senjata bagus begitu terima kasih untuk permainan call of duty semoga depan semakin bagus tolong jadi pasti komentar saya itu saja semangat developer permainan iya,5
Rizky Abyan fadl,2023-04-29,mohon maaf bukan saya tidak suka main permainan tapi karena sistem matchmaking yang seimbang yang akibat saya kalah terus terus,1
Bagas 123,2023-04-29,asa sekarang setiap mau login update terus heran saya update apa coba gda yang ubah,1
Doni Official,2023-04-29,permainan nya bagus gameplay tarik tapi ping nya tidak bisa ajak kompromi,4
Steve Vey,2023-04-29,terlalu banyak yang downloadterlalu berat harus gamenya simple dan seru semakin susah dan sering ngelag,1
Abdul Ghofur,2023-04-29,kepada pihak developer codm saya akan beri keluh saya yaitu dapat bug pad lobby yang ada event toko atau lucky spin,4
iyas prass,2023-04-29,biasa habis update pasti tidak selsai sudah hari tidak bisa login ngestuck loading page sudah hapus cache restart handphone tidak ada ubah garena kamu mau apa sih,1
Rama Ekynlinaya,2023-04-29,iya saya saat lobby selalu loading tapi saat in permainan lancar padahal sinyal bagus tolong baik,2
Azka Maulana,2023-04-29,apa apa saya mau ganti layout mode zombie pada saat saya kecil settingan nya eh tidak bisa besar lagi tolong baik bug ini saya bisa main mode zombie kalau bug nya seperti begini,3
Damn Lyric,2023-04-29,semakin tidak adil terlalu banyak tukam player yang pakai emulator setiap match bagai masuk untuk developer tercintan untuk laku banned larang main emulator karena rugi player mobile,1
M Soleh,2023-04-29,tolong cod kalau kasih tim iya benar dikit lah masa kita losestreak saja jadi dapat tim noob yang awal nya sudah legend malah turun tolong cod kalau kasih tim kasih tim jangan yang bot kalau level juga seimbang kita yang main kn juga kesal,2
Ha H,2023-04-28,waktu temen saya ingin meng add account saya agak bisa jadi teman permainan codm tetapi semakin ada tulisanthe player u search is not exist saya sangat kecewa dengan hall,2
Joshua David,2023-04-28,sih setiap masuk gamenya harus login akun terus mana sering network error padahal sinyal aman aman saja,3
Ahsin Lusi,2023-04-28,masa hari sekali upadet man harus download ulang aset map skin dan lain lain tolong dong kalau mau update season kasih jangka waktu menghabiskan memori banyak,3
Rizky Aditya,2023-04-28,aku benci permainan soal banyak bug dan bisa akun iya sudah buat semakin pencet guest semakin ngulang dan layar bolak balik selsaikan bawah kan yang buat tidak jelas,1
Esa Surya pratama,2023-04-28,sedikit kecewa padahal hp baru beli terus lngsng download codm oke lah untuk grafik semua bagus ehh saat main semakin keluar paksa sih tolong dong baik nnt kalau sudah baik baru saya main untuk sekarang mah saya henti main,3
Irfan Maulana,2023-04-28,aneh tidak bisa log in karena koneksi jaringan padahal jaringan bagus dan normal,1
Vhalend Vhaliand,2023-04-28,stiap udet harus download tulis nya hanya ski mb nyata nya gb kan tolol download ia main tidak dapat apa paling harus top up pdhl sudah gb lbih tetap saja harus download,1
Q Sanny,2023-04-28,banyak update masa iya setiap hari update sudah begitu ratus mb gila sih  lebih baik permainan belah,1
Destitia Andalusi,2023-04-28,overall permainan keren sih bagus Hanya setiap mau login selalu gagaltime out padahal sinyal sudah sangat bagus dan tolong untuk foto profil agar bisa ubah dari galeri itu saja sih semoga dapat baik agar para main nyaman sama permainan,4
Erick Boots,2023-04-28,admin update nya gimna pin bagus jaringan wifi terus permainan play force close terus tolong perhati,3
Aldiansyah Roziano,2023-04-28,bisa tidak sih download aset dinamis lobby cepat habisin waktu itu donwload persentase lama sangat,2
Jual Gitar Surabaya,2023-04-28,lama loading startupnya downloadnya lebih dari kalau  permainan tai,1
Firman Firman,2023-04-28,hp masih baru internal masih luas tapi tetap saja gamenya nge frame terus sangat kecewa padahal hp saya sangat dukung,1
Alief Adha,2023-04-28,fitur download aset ulang sangat enak pakai sudah update sangat banyak semakin harus download ulang aset gamenya hingga ratus mb dan hingga gban,2
Ahmad Abyan,2023-04-28,permainan sudah sangat bagus tapi sayang sekali hanya bisa dukung gamepad bluetooth tidak dukung gamepad typec razer kishi yang saya punya,2
Kalih Maliki,2023-04-28,permainan nya seru banget tapi saran saya kalau bisa kecilin ram permainan nya soal beri yang mau main permainan hp ram kecil moga update yang datang ini permainan bisa turun ram nya,4
Nurhanipah Nurhanipah,2023-04-28,banar bagus tapi kalau pakai sniper susah sangat sudah assist selalu terus sekali musuh mau mati semakin kita yang mati juga kasih guerilla selalu permainan paling jelek bodoh,1
Tanjari 003,2023-04-27,permainan rusakk masa musuh tidak lihat benarkan donk biar adi mainy parah aplikasi rusak mnrt saya kalau tidak bisa mainkan di dvic ynk tidak mmpu mndink hpus saja permainan dari plystor dari pd ada tapi tidak bisa di mainkan,1
Orang Dalam,2023-04-27,timeout muluk saat mau login padahal saat main aman jaringan juga speed lumayan,2
Bagas Artsa,2023-04-27,sebenernya permainan nya bagus Hanya sedikit malas kalau main permainan dikit update sedang sekali update banyak sangat dan makan waktu jadi tidak mood main,2
Arel Bachtiar,2023-04-27,kembali mode prophunt saran saya admin kalau keluar mode baru sudah jangan ilangin selalu apalagi mode seru hibur dengan ada mode yang hibur prophunt bisa merefresh kan otak kala kita loststreak main rank atau banyak masalah kan jadi betah main codm kalau seperti begitu,3
Bravo 6,2023-04-27,masih yang baik dari yang baik tambah kecilin ukur gamenya biar tunjang performa main dan tolong pertarungan password yang dulu itu lebih bagus contoh ghostjaw bone tapi pertarungan password yang sekarang semakin jadi seperti fantasi dan semakin lihat terlalu bagus tolong baik buat season password lanjut terima kasih,5
Jannah 123saja,2023-04-27,permainan sangat bagus dari grafik dan tentu saja tidak ada bug sama sekali dan senjata nya banyak dari skil karakter skin moko nya masih banyak harus wajip download permainan,5
Campur Aduk,2023-04-27,tolong jangan sering update selalu semakin semakin berat dan semakin banyak file yang tidak berguna karena walau update terus juga tetap sama saja gaya main dan lain nya tidak ada yang aneh,2
Rouf Satrio,2023-04-27,permainan bagus grafik ok gameplay seru tapi ada bug dan pay to win,3
Muhammad Amiluddin,2023-04-27,ini saya beri bintang dulu karena saat aku main rank itu baru naik master tapi musuh sudah full legend semua tim nya sekali tim saya juga pada ada yang baru main jadi tolong developer kalau ngasih musuh itu banding dengan kita yang baru main,3
Larusdi Rusdi,2023-04-27,saat update dulang buat bosan tunggu tolong dong jangan ulang loading atau mendownload,3
hamba allah,2023-04-27,gamenya bagus tapi sayang dikit update selalu padahal tidak terlalu signifikan ubah nya,2
alfathi santoso,2023-04-26,permainan rusak matc makin tidak semibang ketemu musuh yang rank tinggi dari pangkat saya padahal masih pro tapi musuh sudah legend permainan rusak matc makin rusak kalau ketemu musuh semibang sama tim tidak tim seperti bot musuh jago sangat jangan skin map saja update matc makin benarkan kalau update,1
Kicky Vera (Bunda Safran),2023-04-26,grafik bagus sangat dan tolong tambahin undead siege biar tambah seru,5
Vox• King,2023-04-26,yang bilang permainan jeleklag kah atau freze lahitu semua kembali diri kalian masingkalian pakai device low end atau high end permainan sedia untuk device low end juga Hanya not recommendedsy bagai berguna kentang phone juga iya memang lag memang freze and frame drop but saya nikmat saja pandaikalian syukur masih bisa pakai device low end jangan Hanya bisa ngritik tidak ada saranlu niat meng kritik atau jatuh,5
Muhammad Rianda,2023-04-26,gamenya sih sudah bagus Hanya setiap event spin tidak pernah hoki senjata legend atau mytic banyak orang dan teman hoki dapat senjata ar dan smg tolong kasih saya hoki juga senjata seperti begitu agar saya semakin semangat main,4
joko heryanto,2023-04-26,gamenya seru ada br ada mode zombie dan juga rank match dan mp sini saya sangat suka gamenya banyak youtuber yang main permainan codm dan yang saya tidak suka adalah saat main tolong musuh nya masa punya senjata keren damage sakit dan juga level berat jadi untuk developer tolong baik soal saya tidak enak sangat dan juga saat saya main saya sering tidak bagi jadi segitu saja info terima kasih,5
E-200 Interminable room,2023-04-26,pernah main tapi akun dulu sudah hilang terus banyak senjata epik tapi permainan,5
rumah joglo joglo,2023-04-26,kata kata yang saya tulis belum yang tentang tidak bisa update saya tarik terima kasih garena tapi tambahin skin senjata nya dong sama skin karakter tapi terkadang terkadang waktu home ada tulis hubung server padahal pingnya hijau sebenernya tidak apa-apa karena Hanya sebentar tapi kalau bisa baik,5
Mendol Putra,2023-04-26,buset real sangat cok permainan grafik buat hp saya ledak wow super real lebih bagus dari free fire permainan skinnya ada yang commomlangkaepiclegendmytihg memang permainan tidak kalah keren developer pintar banget coy aku sampai harus pakai pc untuk bisa main kalau hp fix,5
BIGETRON! ZuxxyGMLY,2023-04-26,kalau lagi download data terus data nya refresh tidak usah dari awal lah ajg kamu pikir beli kuota itu gampang,3
Jumadi Akbar,2023-04-26,permainan kacau baru main sudah muncul plug in mana tidak bisa apa apain tolong pihak developer baik lagi capai capai download lama semakin begini,1
paik kun,2023-04-26,permainan an capai nya tidak bisa login sudah nyoba kalau kalau padahal jaringan stabil hade,1
