Username,waktu,Komentar,Rating
pubg chanel,2023-04-23,tidak bisa main hanya bisa login lobby sama tanggap tencent selalu tentang jaringan woee jaringan saya aman ping tetap tidak bisa main hanya bisa sampai lobby saja tencent mohon tanggap keluh kami kalau seperti begini terus lebih baik kami main permainan yang lain tencent tanggap apa keluh kami,5
Paulus Endi,2023-04-23,permainan nyaa semakin seru tapi sayang terlalu berat untuk hp ram itu yang buat kawankawan saya pensiun dari pubg,4
Kevyn Anjas m,2023-04-23,settingan umur tahun itu terlalu lama waktu tunggu minimal hari atau minggu orang yang tidak tahu saat nekan semakin jadi susah main sudah pusat bantu masih tidak ada hasil seperti mana sudah lebih dari hari belum ada responnya,1
Nur Kholik,2023-04-23,saya temu bug sketboard dan juga bisa gerak saat kena bug tolong baik bug mi,2
Muhammad Reza afandy,2023-04-23,tolong baik kembali semakin berat dan lambat padahal jaringan gg tapi login juga lambat permainan suka dari dulu tapi semakin lama semakin lambat permainan ini semoga saja ada ubah lagi tingkat kembali aplikasi nya,3
Kenzo Ramadhino,2023-04-23,bug nya banyak sangat darat tiba hilang bisa keluar dari match metro city,1
Mahmud Rizal,2023-04-23,eventevent nya tidak tarik semua banyak yang tidak jelas Hanya buat bertambah berat saja,1
Ahmad Haydar,2023-04-23,pubg sekarang andal duit developer nya lebih penting duit daripada player dan pubg sekarang dulu yang sekarang skin nya lebih mirip fantasi dulu yang skin nya realitis,1
Michael Darren,2023-04-22,aku kasik bintang karena gamenya bagus tapi ada sedikit bug map karakin juga tolong minta tolong cara biar akun guest aku bisa kembali dari,5
Andi,2023-04-22,pubg bagus tapi ada bug deg tika aku hit kepala tidak hedshot teruss deg kurang dan tidak ada deg ketika aku by one sama musuh kok aim saya jadi hancur dan juga tidak kena deg musuh nya iya baik cepat nyah untuk helm level sama kalau kena kepal tidak hedshot dan untuk helm level masih ada cma sedikit tapi pelurunyah masuk semua kepala tapi tidak hedshot mohoon baik cepat nyah dan juga trainingtempat latih nyah patah patah padahal dirank gakpatahmhn baikin,3
TwentyZen,2023-04-22,ban padahal vpnnya sudah hapus lebih dari minggu sama dengan banned akun tapi semakin ban dengan alasan yang sama padahal pakai vpn install aplikasi tool,1
edi hidayat,2023-04-22,semakin kesini semakin besar gb ukur nya main nya pun nyaman kalau bisa lebih baik aplikasi nya balikin seperti dulu pertama ada biar ada kendala nya langgan anda para main pubg bisa pindah aplikasi belah saya pun mau uninstall aplikasi nya tidak enak dimaon kan sekarang,1
Muhammad Anshory,2023-04-22,jaringan bagus tapi ping sering merah tolong baik masalah lag,1
Tatsuki Shima,2023-04-22,saat saya mode parasut player lain yang turun tidak lihat dan tiba tiba sudah ada bawah pegang senjata itu sangat rusak gameplay tolong tegas,1
Vrasly,2023-04-22,bug saat naik skate berguna kemampuan dan bisa exit,4
NO'Name,2023-04-22,apa daya nya para player hp kentang bug tolong baik prem nya dong,5
Muhammad Akbaruddin,2023-04-22,dear developer saya player dari season sangat senang main permainan pernah bosan saya ingin ukur download rang supaya temanteman lain bisa main sama,5
Ibnu Arka,2023-04-22,next update nerf senjata dbs terus optimalin gamenya main sambil record lambat padahal permainan lain tidak dan bug juga layar hitam senjata lama ambil karakter jadi item saja lebih ini permainan keren apalagi event nya,4
Aanaja13 Aanaja,2023-04-22,saya mau main gamepakai email tidak bisa masukparahkalau mau untung top uptolong jangan buat sulitterus terangpakai email tidak bisa semakin blokirparah error system,5
dedi kusnandar,2023-04-22,permainan favorit saya panjang masa permainan horror kedok pertarungan royale permainan acu ketika hendak beli hp baru tolong difixkan bebrapa masalah bug render bangun yang paling sering saya alami minim loot senjata saat sudah darat,5
Dodo Aroy,2023-04-22,sring sangat bug sinyal saja tidak stabil padahal sinyal full lagi naik kendraan tiba-tiba sinyal macet sendiri sring mati karena sinyal sring tidak stabil dan jalan suka bug juga tlong perbaiki lagi pubg nya dari sinyal bug itu harus baik biar yang pnggemar pubg pda tidak kcwa jgn kalah sama permainan belah smua lancar sinyal gda bugbug an,1
SOE channel,2023-04-21,permainan yatambah kesini kenapa hancur bangetawalnya baguskok kesini awal patahterus in permainan tibakeluar main sudah laporanno respon terus gmnkok tambah berat jugamintanya minat banyak tapi tidak rakyat sama sekali kalau skin mah normal mahilin tidak masalah hanya yang saat in permainan ituloh begitu iya,2
Aidil Hermawan,2023-04-21,gamenya bagus tapi kenapa sinyal saat main permainan sering hilang terus padahal saat main permainan online lain sinyal bagus terus mohon baik kalau sudah nanti kasih bintang lima,2
Hamdan Wisnu Damarsasi,2023-04-21,gamenya ngebug atau bagaimana settingan pubg saya gyroscope sudah nyala bahkan always on tapi saat main semakin tidak nyala sama sekali gyronya bahkan yang teropong on pun tidak aneh sangat,1
Willi Willi,2023-04-21,update baru pubg penuh dengan botplayer botkebanyakan player keluh karena update baru initolong update depan baik,4
Bang Gimbot,2023-04-21,kasih tahu bug jawab kurang jelas lah butuh informasi lebih banyak lahpadahal keluh orang hampir sama semualu suruh main itu tim developer kamu biar tahu masalah jangan Hanya diem saja,1
Glens Mauro,2023-04-21,iya gamenya sudah bagus tapi kalau bisa fokus dulu cheater yang untuk ban dan kalau bisa musuh semua setu flag jadi kalau bendera china iya musuh china jadi tidak campur kalau soal banyak cheater dari china dan tolong selsaikan bug nya,4
ANDREK KEN,2023-04-21,ingin kembali tahun benarbenar suasana perang dengan backsound yang gahar dan skin yang tidak terlalu berwarnawarni sampai detik masih pubg yang nomor,4
Agung tri laksono,2023-04-21,game nya sangat had tapai lebih baik sat kill asap nya hilang kan tapi mb nya sangat banya tolong lebih kecil mb nya tapi kenapa nama tidak bisa ganti ya,5
Bang Ijal_26,2023-04-21,permainan yang sangat bagus sekarang jadi burik kek mah bug saja tolong segera baik terima kasih,1
Rava Pratama,2023-04-20,hallo pubg mobile game nya bagus namun ada kurang yang ingin saya bilang disinisaya bagai berguna smartphone dengan ram kecil minta tolong kepada developer untuk selsaikan tentang,5
Meldy Vaganzaee,2023-04-20,grafik semakin jelek loading nya lama matchmaking nya lama,1
々IQBAL々,2023-04-20,aneh sama orang minta event itu keluarin tapi saat dikeluarin ngeluh kenapa permainan nya semakin berat kamu pikir ngeluarin event seperti begitu masuk mb an saja sana juga ada fitur hapus data iya kamu habisin lah seperti map seperti outfit seperti,5
Linx Kyle,2023-04-20,semakin update semakin parah sumpah setiap hari saat main sinyal nya tidak stabil naik turun terkadang sampai ping ms san mau seperti mana cara main kalau seperti begini tolong lah sesuai lagi musuh kan padahal masih silver sudah pada susah musuh nya terus tambah sinyal stabil ping nya naik turun dan satu lagi bagi grafik nya buka smooth extreme padahal saya makek device yang skor antutu capai rban pakai mediatek tidak padahal skor segitu bisa unlock sampai smooth extreme tolong untuk update fix ya,3
Cecep Rendi setiawan,2023-04-20,saya mulai tidak suka ini permainan karena setiap kalau saya push rank dapat tim bdohmaaf kasar tapi sesungguh buat saya jengkel,2
Xy,2023-04-20,lamalama jaringan gamenya jadi tidak stabil asa saya pada hehe padahal dulu tidak ada masalah sama sekali sekarang semakin ada seperti hidup saja semakin lama semakin tambah masalah,1
ishan bawazir,2023-04-20,hai krafton saya lihat anda sekarang sudah bagus kembang permainan tapi tolong download otomatis permainan usaha hilang karena kami perangkat android terlalu punya cukup ruang simpan yang besar untuk pubg sehingga permainan kami jadi frame mudah mudah bisa selsaikan,5
Liman r Sidangoli,2023-04-19,gamenya sama dengan season season kemarin season aku tidak bisa main permainan frame sekali,3
GamingPro XD123,2023-04-19,kecewa kenapa saat main dan keluar karena sinyal buruk bisa masuk kembali untuk main alhasil point kurang sedikit karena masalah sepele sebut kecewa berat,1
Hery Hidayat,2023-04-19,sudah sekian lama tidak main pas mau main lagi suruh update telah update alhasil akun semakin hilang akun semakin unlink dan ketimpah sama akun baru,2
21 Muhamad Azka Hillan,2023-04-19,banyak bug bug yang dulu pun masih belum betulin sudah begitu cheater juga masih banyak pubgm sekarang juga bug nya semakin tambah banyak mana bug nya rugi sangat buat player sinyal nya juga dong baik,1
M Fadil,2023-04-19,saya minta tolong kalau update tolong kalau mau update bot perlu terlalu pro beri sama player nya,5
AZ Creator,2023-04-19,permainan hanya penting ekonomi selsaikan contok event yang mantap hadiah permanen wajib kan beli uc banyak kami para gratis juga ingin tampil beda tidak nya kasih skin senjata yang ada efek untuk gratis rip pubg ajar dari mobile legend mereka penting player yang punya banyak uang bahkan player gratis juga bisa dapat skin permanen yang kelas kualitas terbaikmaka nya permainan mereka kikis waktu,1
Irfan Andika,2023-04-18,aku suka pubg tapi mode metro royale nya terlalu banyak bug tolong baik iya pli,4
Deo Nikander,2023-04-18,sudah lah saya bagai player old season rasa kecewa dengan permainan ini harus utama nyaman main bukan update yang tidak jelas bertambah map itu yang tidak penting mau apa sih semakin lama semakin tidak enak device saya padahal belum tidak ada masalah sama sekali,1
Tisen Manikape,2023-04-18,masih dulu metro royal sering dan sering lag padahal jaringan sudah tidak,5
Darwin _129,2023-04-18,sering frame drop terus kalau main random suka dapat tim beban tolong lah sudah banyak bug frame drop tim nya tidak berguna hadeh,1
Adam Satria real,2023-04-18,walaupun sudah banyak player pubg pensiun dan ganti free fire atau mobile legend tapi saya sangat bangga dengan developer yang pantang serah dan cepat respon saya harap semoga permainan laris dulu semangat terus developer jujur walau temen saya pada ml dan ff tapi saya akan selalu setia dengan pubg sukses teruss developer respect never give up,5
Poulen,2023-04-18,saya main dari season sampai sekarang tapi sekarang pubg sering banyak bug tombol tidak respon terkadang semakin tidak bisa pencet saat kita war tidak seperti dulu iya walaupun dulu ada bug tapi tidak parah ini untuk developer sekarang tolong lah baik pantas player lama pada pensiun kalau pubg sekarang semakin tidak seru dulu,5
amaizuu,2023-04-18,tidak tahu dari hp nya atau gamenya sudah update event saat in permainan sering sangat tiba-tiba disconnect setiap main pasti selalu luar home screen hp,3
arifwibie San,2023-04-18,maaf belum jadi begini kan sudah sering bilang belum keluar dia hitam layar terkadang gambar henti kotak bgtu terus hitam terus keluar terus begtu wlwpun coba lagi coba lagi sementara tidak ada aplikasi lain selain pubg sinyal bagus stabil sudah loading nya lama tidak hasil pula main keluh sama dengan player lain jadi saya main free fire semakin ada maju jadi pubg lama belum ada komen bagus saya tidak akan install tolong paham,1
Merta,2023-04-18,permainan saja saya sudah crown tinggal cri poin lagi ace saat kalah musuh tinggal semakin turun crown  bug gimna permainan str buat yang lain kalau emosi jangan main permainan sudah,1
dika diki,2023-04-18,jaringan pubg sekarang jelek benar semakin update semakin semakin rusak jaringan nya tolong baik masa jaringan sungguh ganggu,3
Alwan PAR,2023-04-18,permainan customer servicenya bagus akun yang kehack juga bisa balik terima kasih all,5
Ilham Prawyra,2023-04-18,sampai sekarang tidak mengerti dah bug nya terlalu buat sakit mata gimana ini kembang makin kecewa gak nyaman main,1
Nazlisyah,2023-04-18,mohon sangat segera rilis grafik super smoothnya dan optimal fpsnya supaya hp kentang lancar main please,4
Tau Fik,2023-04-17,paraahh untuk masuk matching selain erangel livik nusa sangat susah cuma map itu saja yang gampang masuk tempur selain itu sangat susah,2
Evil Cahya,2023-04-17,semakin buruk padahal kemarin main lancar saja tapi beberapa hari main terasa berat sangat terkadang juga sudah turun dari parasut masih suka nyantol parasut padahal sudah pada turun jaringan juga baik saja terkadang bug juga masih banyak mohon baik kalau iya paksa uninstall semoga keluh saya baca oleh pihak buat gamenya terimakasih,1
Kurniawan Amronih,2023-04-17,pernah top up pubg tapi sempet uinstal saat download lagi masa bundle  yang pernah saya dapat tiba hilang begitu saja parah sih dari event yang pernah saya dapat bubdle hilang semua sudah lah malas main lagi padahal login akun yang sama pula,1
ChristopherLikadinata,2023-04-17,gamenya sudah bagus tapi ada bug yang dapat saya buat ganti profile saya sudah coba ulang ulang tetap saja bisa jadi mohon tolong bug nya hilang,4
front persaudaraan Islam,2023-04-17,saya mohon kepada developer pubg agar segera baik bug yang terkadang suka keluar sendiri saat main tolong untuk developer bagaimana cara selsaikan nya,1
Dwi Putra,2023-04-17,tolong lah mas ada bug sinyal apa iya kenapa lobby nya loading terus tapi saat main bagus bagus saja sinyal nya,5
shinobi fans,2023-04-17,permainan apa la semakin update banyak bug layar item bagaimana mau perang kalau layar full hitam,1
Abil Ababil,2023-04-17,permainan nya bagus tapi setiap matchmaking lama sangat aku sangat suka permainan nya tapi sinyal nya sangat sulit dulu dan aku paling sudah matchmaking tapi yang jadi main hanya,3
Nurhasan tb,2023-04-17,saya suka gamenya tapi ada bug saat mnembak bagi knan hp tidak bisa atau seperti delay tapi sudah pindahin bagi lain normal tlong baik,1
Raisya Setiadi,2023-04-17,lumayan lah tapi ada bug bug nya sering keluar lagi main tiba tiba keluar padahal game yang lain ngga seperti gitu deh nelag juga padahal wifi nya nala kenapa tolong baik iya developer,3
Marino Lorenzo Gaming,2023-04-17,permainan bagus  hanya untuk hp ukuran jt sudah frame sangat  harus minim iphone xr itu pun buat competitive,1
Kandar Putra,2023-04-17,sesuai main baru kurang perhati sangat kurang sehingga main bisa adaptasi dengan sesungguh saya bagai main baru rasa kan dampak nya tolong perhati,2
Ican-kun 10,2023-04-17,saya main dari tahun sudah itu pensiun lama beberapa tahun dan tahun saya download permainan lagi ketika saya sudah masuk gamenya saya bingung kenapa skin skin seperti senjata baju dan lain lain punya saya kenapa hilang iya padahal saya sudah download full data dan juga saya dulu sering top up untuk beli skin juga pertarungan password,1
Hidayat nur putra pratama,2023-04-16,alam sangat buruk untuk update sangat buruk hanya untuk skin dan kosmetik lain permainan play semakin sini semakin aneh hal yang perlu semakin perlu masih cukup banyak cheater yang liar sudah report masih bisa main bagaimana juga sering kalau baru main sudah kasih pvp yang tidak berotak kalau kasih bot semakin ampas ai nembaknya,1
Franzz Hentaii,2023-04-16,permainan online baik turut saya dari segi grafik sudah bagus sinyal oke entah masih banyak yang komen permainan seringkali alami lag padahal yang buat lag bukan permainan nya tapi sinyal atau daerah itu sendiri saya seringkali main jam jam dan sama sekali ada kendala jaringan lag freeze atau alami macet handphone asal setting grafik sesuai dengan mampu handphone saya rasa semua permainan akan rasa itu semua jika player turut atur gme,5
Tirta Bekti88,2023-04-16,sebenernya suka dengan permainan dari segi grafik tekstur dan permainanya tapi yang buat malas permainan marak sangat cheter cheter resah ada yang auto aim damage tidak berotak tanpa recoil dan shake walhack espmap hack bisa tahu lokasi kita dan lain lain jadi buat malas tolong baik pihak developer aman nya masih kurang sangat,3
Wesley Prawar,2023-04-16,permainan bagus dan senang apalagi bisa main sama teman tapi masih banyak bug keluar dari match lobby dengan alasan koneksi padahal koneksi saya selalu bagus dan pingnya hijau mohon lekas baik,2
Surya Ida Bagus,2023-04-16,saat permainan keluar sendiri force close tolong baik,1
Faisal Fre,2023-04-16,sangat bagus permainan namun terkadang ada sedikit beda tier yang cara otomatis ketemu cabin atau satu tempur yang terkadang yang jadi tanya harus sesuai dengan tier yang kita milik biar ada seimbang tempur sebut,5
IND KING,2023-04-16,parah sangat pubg sekarang tidak bisa login sama sekali setiap sudah login server selalu merespon saat mau login ulang suruh tunggu sampai detik saat sudah loading semakin keluar kata suruh tunggu detik kalau gtuh kapan bisa main hampir jam saya login gagal selalu,1
Kausari Ayi,2023-04-16,saya bisa login permainan padahal jaringan internet saya bagus tetapi  selalu bilang server merespon sama jaringan stabil bahkan saya sudah uninstall lalu install,3
Mohamad Rehan,2023-04-16,nice realme u ram dapat frame rate high walaupun high tapi lancarr saya ada sedikit saran tolong buat realme u frame rate ultra dong tencent masa snapdragon Hanya dapat high tpi overall masih enak buat main walaupun Hanya fps tapi bisa stabil,5
MUHAMMAD ABDURRAHMAN ABY,2023-04-16,Hanya satu hal yang turut saya kurang yaitu matching yang lama apalagi buat solo saya harap untuk depan tolong cepat untuk matchingnya terima kasih,4
liana.rhmawtii,2023-04-16,permainan cukup keren seru tapi satu hal yang tidak nyaman sangat sih setiap login layout saya bakal riset bahkan mau berguna kode layout yang belum tidak bisa saya coba buat layoutnya tapi tidak bisa kesimpen tolong dong admin mau main jadi gamood Hanya garagara layout riset benar benar mah,2
Lutfi Tamiang,2023-04-16,tolong lah developer saya mau push duo kenapa lama sangat masuk permainan nya baik dong jangan buat kecewa tunggu juga bosen,3
Vicky alvyanda Syahputra,2023-04-16,tolong iya permainan pubg mengapa iya setiap ingin login mengapa bisa jujur saya suka pubg sekarang pubg yang dulu lebih work daripada sekarang,2
RIZAL Fp,2023-04-15,dari dulu main permainan bagus sangat lengkap pokok nya tapi bug nya benarkan saat baru turun render telat map rumah nya bentukbgk beraturan begitu,5
Persib Bandung,2023-04-15,suara tembak musuh seperti suara tembak bot apakah bug terus kalau kita tembak musuh hit damage nya tidak ada tolong baik,5
Michael Setiawan,2023-04-15,suara sering balik suara step nya balik tembak mobil dan lain lain,1
sandi pratama,2023-04-15,koneksi internet pernah stabil selalu suruh login ulang dan itu sangat ganggu alam main,1
Erick Parera,2023-04-15,saya sering main permainan sudah update baru malah tidak bisa login dan tulis please enable storage access permission for this aplikasi in ting padahal sudah ting ulang tetap saja tidak bisa login parah ini,2
Adhyt saputra Saputra,2023-04-15,tambah parah saja permainan semakin tamba berat bung banyak jaring nya jelek lebih baik kembali pubg seperti duluh waktu jaman masih rilis pertama,1
Danuarf gaming,2023-04-15,grafik sudah bagus tapi saat lobby selalu muncul tulis request timed qut padahal saat in permainan pingnya dapat saat lobby pingnya semakin naik jadi semoga bisa baik kalau sudah baik saya tambah bintang,3
Anjani Samal,2023-04-15,tolong lah aku main pubg sudah dari season minimal wwcd dapat uc seperti apa seperti begitu biar ada rewardnya dong biar tidak hambar begitu wwcdnya,1
Ahmad Parhan,2023-04-15,dari pihak tencent mohon tambah mode zombie main wow saya yakin pasti banyak yang suka lebih mode zombie sudah lama hilang mohon sekali untuk pihak tencent,5
Syakila Kila,2023-04-15,harus nya developer denger keluh kesah para main permainan ini klo memang permainan dari pc dan buat untuk android maka sesuai z tuju awal developer buat permainan untuk android tidak nya ringan para player yang mgkn hp nya kentang namun suka sama permainan ini tpi ada luar duga krn harus hp yang spek nya tinggi dan utama untuk ram nyawajar kalau pubg semakin sdikit minat nya tidak kya permainan mljauh dari kata cukup untuk baik biar ramai yang main pubg mobileitu z developer,4
Hikmah Rizkisubagja,2023-04-15,semakin kesini makin bagus ubah tapi sayang kenapa kalau update ukuran selalu besarr tolong dong tencent jangan terlalu pelit biar main yang spek hpnya kentang bisa main pubgm dengan mudah biar tidak ada ngepremmnya,3
Ariss Real,2023-04-15,entah setiap update data grafik nya riset tolong lah developer baik masalah nya bisa bisa nguras paket kalau begini terus,4
V CEZ,2023-04-15,semakin rusak saja ini permainan  jaringan sudah betul lancar tapi ping nya selsaikan,2
Muhammad Azka,2023-04-15,dari segi gameplay sudah bagus jaring bagus hanya ada yang kurang yaitu tampil mode malam soal seru sama kalau hidupin temen jangan batas udah itu saja semoga respon,4
Ridhuwan Syah,2023-04-14,halo kepada pihak developer pubg mobile saya mau lapor ada bug suara rendah pada game pubg mobile saat saya ganti suara rendah tiba tiba suara mobil in game dengar itu sangat menggangu nyaman saya saat main pubg mobile itu itu saja kritik dan saran sayasaya minta tolong agar pihak developer segera baik sekian dan terima kasih,3
allfaaalffia,2023-04-14,turut saya sih sekarang lumayan sedikit kesal yahh sinyal nya ganggu terus padahal sbelum install pubg fine saja terus sering ngeframe juga asa hp kentang tolong baik biar yang main tetap ngerasa nyaman,3
Dafi Raffasya,2023-04-14,maaf belum developer kenapa saya saat mtch tiba tiba keluar sendiri karena jaringan padahal jaringan baik baik saja tolong baik ya,5
Dikaardian Ardian,2023-04-14,tahun lebih saya main ini bos baru kalau saya ngeluh sama turnamen yang gabungin game cukup la tiktok yutub atau facebook kalian tayang lebih baik lagu enak kuping sudah lagu nyaring sangat sumpah sakit ini kuping tolong la,1
Maulana Iqbal,2023-04-14,tolong developer iya kenapa akun saya sudah tolak untuk baca teman difb tiba logout sendiri habis itu tidak bisa login terus iya tolong sangat kan main,4
Vi_Zha official,2023-04-14,lihat permainan sepi map banyak player tidak ada untuk main solo lobby bisa sampai menit lebih tidak main main bosen nunggunya,1
Oakenrull,2023-04-14,kecewa sama matching nya makan waktu lama terkadang sudah tunggu menit lebih belum masuk lobby tolong tingkat matching nya dan juga bug yang masih ada,3
Aji Saputra,2023-04-14,bot tolong jangan terlalu jago saran juga jangan ada event yang lenceng dari permainan nya fokus perang realistis jangan biru permainan belah lebih suka pubg dulu saya dan satu baik bug bukan bot,5
Yuda Nanta,2023-04-14,auto download resource nya masih jalan terus tidak pernah perbaiki apa dari dulu ngeluh tidak pernah fix bugnya  buat ngelag gegara sinyal makan buat download buat kuota sampai habis buat download sumber daya saja padahal buat berat ingame kalau download semua tolong lah buat developer perbaiki segera sinyal ping sering naik turun terus tolong dengerin keluh player jangan hanya jual gacha skin saja permainan tema pertarungan royal apa fashion show woy,1
M Sadam Husien,2023-04-14,semakin bagus sudah hampir tahun main permainan ini tapi saat mau mau harus pindah device dari android ios karena walaupun pakai android chipset snapdragon jika umur hp sudah tahun lebih tetap asa berat main permainan,5
Asep Rij,2023-04-13,baru saja mau kambek main lagi masa harus pakai wifi updatenya kecewa,1
Bi Biy,2023-04-13,coyy  device saya emg sudah tidak terlalu kuat  tapi grafis device saya detail sangat walaupun pakai grafis rata kiri  jadi tidak nyaman dengan frame drop  sedang teman yang devicenya lebih bawah ketimbang aku bisa rata kiri dan terlalu detail sehingga lebih smooth main,3
NisahVinataNew,2023-04-13,kembali sound season waktu sound one my way waktu masih event alan walker saya kasih bintang dulu kalau soundnya sudah kembali baru aku kasih bintang,1
05 igede wira Sanjaya,2023-04-13,untuk permainan nya bagus dan banyak juga event nyatapi tolong dulu saya main pakai snap dragon itu bagus bgttapi sekarang sangat nyaman saat bermainkarena ada frame dropyang sangat parah sudah itu saja keluh kesah saya,5
al_ phath,2023-04-13,sekarang sering ngebug terkadang bisa tembak lawan damage nya ada  terkadang darah kita kurang sendiriseperti kalau liar zona sampai akhir mati habis darah terkadang kontrol aneh bisa runduk atau rayap scoop bisa buka dan lain lain masalah itu sering jadi sudah aplikasi baru padahal sinyal tidak cepat rata rata ms jadi sinyal bagus dan hp pun biasa aman panas semoga bisa baik depa,3
Sona sutra•project,2023-04-13,tolong frame nya rendah karena semakin berat untuk main tdinya lancar sekarang jadi patah selalu padahal wifi saya bagus,3
Aga a,2023-04-13,cara seluruh gamenya sudah bagus dari segi grafik serta matchingnya cumann yang mes terkadang msih suka ada bug mana kalau naek mobil suka masuk tanah coeg terus setiap kalau main map event ngelag sangat tolong buat developer ringan dong gamenya biar ramah untuk ram bawah,5
Wahyu Pratama,2023-04-13,dari segi gamenya sudah bagus tapi tolong dong tambahin fiturnya seperti sarung tangan new statenya kan jadi lebih keren dan terima kasih sekarang aku bisa main walaupun jadi lebih susah dan cepat mati,4
Raihan Ardana,2023-04-13,gamenya bagus sih aku suka sama pubg  meski seperti permainan tidak support performa handphone saya tetapi permainan paksa mendownload resource dan lag permainan juga sering,4
MICHEL OZIA PRATAMA,2023-04-13,pubg tolong iya jika main nya boleh pakai aplikasi tambahn tolong ringan kan lagi aplikasi nya agar terlalu berat bagi berguna hp yang sudah berat untuk main permainan pubg wajar saja jika ada main yang menggunakan aplikasi pelancar kalau permainan nya terlalu berat untuk kapasitas hp yang rendah trimakasih,2
EFRIZAL FEBRIADI,2023-04-13,halo developer saya mau komplen bugnya tidak baik kan itu sangat ganggu player tolong lah teliti permainan nya buka semakin iven nya saja yang perhatiin perhati dulu permainan nya kalau sudah terasa bagus baru iven nyaa kalau bisa kasih iven yang bagus dan gratis biar lebih semangat para player buat mainkan permainan sekian,1
Aswadd Aswadd,2023-04-13,hy krafton main tahun nekenapa permainan kamu sekarang alaynorakhancurgak seru mainkanpenambahan yang kamu tambah itu tidak penting bobrok taugame nya tidak seru tuk mainkankenapa kamu bodoh ahkhirpadahal dulu sudah susah payah rancangtpi sekarang mau hancurin kreatifitas yang sudah lama loe bangun,1
Indra Ajhe,2023-04-13,untuk pubg mobil semakin seru kalau ada tukar companion dengan koin silver piragmen jib uaz dan kupon klasik kupon premium semoga ada tukar companion nya semoga ditanggapin iya untuk pubg nya karena banyak player grtisan dari pda sultan,4
Di Hack,2023-04-13,oyy baik lah masalah ping nya jaringan saya bagus bagus saja kenapa ping nya seratussan sih yang benar la tidak nyaman kalau mau main,2
Marlboro Red,2023-04-12,tolong kembali pubg yang dulu semakin lama semakin aneh update nya dengan fitur yang aneh jadi tidak seru main bisa terbang pakai jaringan lah pakai canon lah itu tolong buat pubg dulu lagi,1
Paijo Kentok,2023-04-12,tetap tidak ada yang ubah nyesel download auto download nya tetap ngawur sudah main dari s sudah tidak main lama kirain sudah lebih baik ee semakin semakin seperti sempak,2
MUH ABDULLAH07,2023-04-12,sih akhir selalu keluar jika sudah permainan terkadang ada musuh tiba keluar ketika masuk rusun mati tolong lah baik,3
17_016 Ipan Sutioso,2023-04-12,mas ada beberapa cheat yang berguna oleh beberapa player khusus player dari cina india dan indonesia berguna lebih bug dan cheat selalu ada setiap season metro royal sampai sekarang jika ada cheat yang berguna pada beberapa player maka akan lebih baik,4
akustik gitar (Ari kurniawan),2023-04-12,permainan isi jual bukan buat hibur main tapi buat pamer skin mahal beda kelas sama jaman tencent sering lag jaringan hilang tiba-tiba chiter masih liar buat yang belum download baik jangan downloadsiasia kuota kalian saya ngomong apa ada,4
Syaza Rose wiantiyasti,2023-04-12,permainan bagus sangat hanya kurang nya permainan nya keluar sendiri itu biasa hpnya yang enggak kuat gess maaf pubg aku akan uninstall karena sudah gb tapi saya akan janji akan main lagi ots,5
Denis Irgi Ismail Fahmi,2023-04-12,permainan survival yang sangat kagum dengan grafik yang baik nyaman saat main dengan tingkat di nya,1
Muhammad Excel Eka Roni,2023-04-12,saya main pubg sering mati karena buggy buggy yabg balik tiba tiba ngeglitch lalu ledak dan buggy yang tiba masuk tanah saat tabrak dan buat saya sangkut sangat resah yang buat saya sering mati saat kendara buggy tolong baik terima kasih,3
Muhammad Ridwan,2023-04-12,banyak bug nya saya seri mulai tanding tapi sering tidak masuk mohon segera baik bug in rugi kurang rankkd,2
Nendi. 1301,2023-04-12,setiap close pubg nya harus download map padahal sudah download tolong baik,2
Fadhil Syakir,2023-04-12,bagus tapi bentuk karakter nya terlalu biasa dan tidak ada variasi,3
Hendra Prasetyo,2023-04-12,sudah bagus update nya Hanya yang ganggu yaitu sering frame ketika main map event padahal device support sangat sinyal oke saja lancar jaya tapi kalau main map event itu sering frame atau mungkin banyak update makanya sering frame tolong ralat sedikit saja trimakasih,5
Septian Adi Chandra,2023-04-11,ram dan signal indohome mbps enak buat main sekarang asal download semuagrafik buat low semua saja akhir bisa main pubg,4
Albert Yosa,2023-04-11,semakin sering force close padahal sinyal aman sudah suruh repair juga masih tetap sering force close,1
Jekki Saule,2023-04-11,permainan pada sahat kita lagi main tiba tiba keluar sendiri padahal koneksi data aq bagus ada ap iya masalah nya,1
EEAAZZEE,2023-04-11,semenjak alih developer permainan semakin aneh saja mode makin aneh juga eventnya udah mau seperti permainan freefire bisa gaksih kalian idealis sikit makin aneh ini permainan serius jijik gw coba tiru newstate sikit yg updatenya tidak lebih seperti lu ga lama ini permainan sudah full dengan tombol gagun,1
Senja 09,2023-04-11,permainan semakin update semakin rusak anjir saya nungu menit tapi tidak masuk match antara permainan nya rusak atau hp saya jaringan bagus ruang simpan masih banyak map juga sudah unduh bagaimana sudah bulan tidak bisa masuk mac tidak baik dan teman saya yang minta zona nya buat sedikit lebih lambat juga masih cepat itu zona,1
