Username,waktu,Komentar,Rating
Syahdan Arsy,2023-06-20,gamenya bagus sangat tapi saya sudah level tapi tidak pernah topuptapi mohon garena untuk sering tambah mode baru iya,5
AKUN HILANG,2023-06-20,main cs rank tiba-tiba keluar lobby kata karena sinyal padahal sinyal bagus garagara itu honor scor jadi kurang,2
Gilang Rhama,2023-06-20,semakin aneh dulu awal rilis rasa sangat perang nya sekarang seperti permainan fantasi item old keluar item hapus mode aneh,1
vicikel,2023-06-20,kenapa sekarang tidak jelas saat aku main rank tiba keluar nta memori saya yang masalah karena karena ff banyak makan ruang sampai gb,3
Muhammad Faizal,2023-06-20,semakin update semakin tidak jelas karakter aktif bisa update an tidak jelas tololl,1
Deny Ferdian,2023-06-20,permainan jelek dari tadi saya main cs ranked musuh nya susah semua tapi temennya tidak bisa main,1
Juwan setiawan,2023-06-20,tolong baik bug sinyal karena sangat rugi dan menggangu player sebut contoh saya sendiri sinyal nge lag lagi kalau tidak bisa baik lebih baik tidak usah buat permainan garagara lag kamu tambah bug hilang pikir lah dikit jangan Hanya update saja gedein,1
RADIL KUN,2023-06-20,semenjak epas hapus developer nya semakin seperti konto diupdate buka semakin bagus semakin semakin burikk mending ml walaupun playernya toxic tapi bug nya tidak banyak mending hapus ini permainan dari play store masa jaringan bagus tidak bisa login dan buat kamu semua yang sudah muak sama ini permainan lebih baik hapus agar developer nya bangkrut,1
Ananda Fahrulloh,2023-06-20,mau stress cok main gm inipas main cs sudah berapa kalau lohdapet temen tim main bottpi musuh nya pro semuaudah gloowall dibatasin ngasih temen beban banyak yang afktrs ini admin kenapa kalau saat lobby itu lancar tapi saat main langsung lag sinyal nyaya saya akhir dilaporin afk dan honor score saya jadi Hanya karena karena lagtolong sesungguh soal masalah jaringan nya minsoalnya tidak mudah loh admin naikin honor score itudan karena masalah koneksi teman saya jadi pensiun,2
Yurii,2023-06-20,garentod garentol bangsad kalau next update impact nya ping player buat apa anj jaring bagus ping an bawah tapi delay parah langsung keluar belum kena kurang scor plis kalau tidak sanggup gausa sok ngadain eventvitur besar anjing anjing bangsad,1
Andrean Bayhaky,2023-06-20,tolong garena saya main tiba tiba pental keluar game terus honor skor saya kurang padahal saya tidak ngapa ngapain kenapa tiba tiba pental tolong respon kakak,3
Mustofa,2023-06-20,gam nya cukup tarik tapi saya ingin saran tolong kecil mb nya agar semua penjuru dunia mampu mendownload free fire tolong ya garena,5
Muhammad adlan Syabil,2023-06-20,garena saya bisa mabar dengan teman saya setiap invite ada pemberitahuan team up boleh untuk sementara waktutolong fix terima kasih,1
Fiqi Dion,2023-06-20,garena tolong baik bug jaringan jaringan bagus masih merah,2
bakpao mateng,2023-06-20,tolong kepada garena kembali mode training yang dulu yang sekarang mode trainingnya tidak jelas mau latih saja jadi sulit karena banyak benda yang halang tolong garena kembali mode training yang dulu dan yang sosial island saya rindu yang dulu,5
A Anza,2023-06-20,tolong bug nya baik soal setiap main rank kata honor score rendah padahal afk sama sekali tolong ff yang bodoh,1
Lailatul Munjiah,2023-06-20,maaf sangat yang dari bintang jadi ff lagi knpudh pakai wifi terus pakai data juga tetap lag lg main tb keluar sendiri padahal jaringan sudah bgs smpe rela in buat bli paket ulang kalau Cuma buat main tapi tetap tidak bisa tolong iya garena di baik lagi klo begini bisa pd mls main,2
VzxxTYZ,2023-06-20,jujur dari dulu suka sangat sama ini permainan soal suka update tapi sayang yang update bagus saja bug nya sama sekali tidak fix dari dulu jadi bintang dulu saja iya semangat garena,3
Achmad Romadhoni,2023-06-20,terlalu banyak bug yang sangat ganggu tapi hilang,3
Sella Uta,2023-06-20,banyak sangat bug nya sudah update tidak jelas,1
Gamers Sofyan,2023-06-20,saya kasih bintang dulu karena sering bug dage dan sering bug ketika saya mau mendownload itu hilang iya garena semakin update semakin sedikit rusak jadi tolong baik iya saya mau emote itu seperti pakai cheat padahal tidak jadi baik iya garena terima kasih,2
Fauzan Purworejo,2023-06-20,woy kalian lebih baik main permainan belah dari pada permainan masa jaringan bagus jadi jelek tombol tombol hilang tolong kalau mau update uruslah dulu itu sama pikir ngerugiin player lain tidak,1
Achmad Rifaldi,2023-06-20,permainan nya lumayan bagus grafik juga sama tapi tolong untuk masalah bug urus dan selesai daripada para player kesal dan marah saya sudah bosan baca ulasan yang penuh keluh kesah mereka saya capek sangat baca ulasan yang penuh keluh kesah mereka tolong garena masalah bug urus dan selesai juga baik cepat saya kasihan sama para player old dan new,5
ADLI MALIKUL.M13,2023-06-20,permainan nya bagus grafik di realists waktu tembak nya bagus ada efek nya gamenya bit,5
Bang Sate,2023-06-20,free fire lama lama semakin kesini semakin tidak jelas jaringan semakin rusak saya sudah pakai booster tapi masih saja rusak ini jaringan padahal sudah ms masih saja ngelag dan yang paling saya benci sistem honor score yang buat saya tidak bisa main cs rank yang padahal saya sudah reconnect tapi tidak bisa bisa sedang kan aplikasi lain lancar saja jaringan satu kata dari saya s u kamu,1
Faris Alamsyah (Faris),2023-06-20,sekarang ff sudah beda banyak bug nya dan ngelag sudah tidak seru seperti dulu,2
Umar Riva,2023-06-20,gamenya bangus grafik bagus tapi banyak yang masih alami bug jaringan patahpatah dan lainlain,5
Maulana Wijaya,2023-06-20,ngasih t sama musuh tuu yang nanti rank nya masa saya saat main csr bintang saya lah tim saya bawah selalu tim nya sedang musuh nya selsaikan berotak dong pasti klh lah mana pada afk selalu csr sekarang saya lihat sampai sudah turun pun rank saya diamond musuh nya saja masih heroik bintang semua lah tik saya pada masih dm,1
Ayo Cari *Meme dunia*,2023-06-20,garena bisa kalau nge update berotak dikit lah bug banyak sangat setiap gameplay ada bug yang salah satu voicesuara tiba turun padahal suara keras kenapa jadi turun tidak kedengeran harus baik lah jangan main event terus,1
Fauzi Fadhilah,2023-06-20,garena kenapa habis update semakin aku login pertarungan royale selalu sudah logt out malas kalau begini terus sudah malas buat main nya,2
Andi Izun,2023-06-20,tolong sesungguh fitur report padahal aku tidak cit dan config tapi kenapa suspend bagaimana tolong benerin ff bodoh aim tidak mau melekat jarak jauh ff susah melekat aimnya tolong mudah aimnya,1
Ica Cahyadi,2023-06-20,permainan jelek banyak bug dasar permainan jelek hacker banyak bug banyak saat ada update ada baca starting lalu saya tunggu lama tidak bisa masuk semakin terus ada baca starting permainan jelek jelek sangat jelek,1
Evos,2023-06-20,apa sih garena event nya pada tidak jelas noh jaringan nya baik dulu lah masa setiap login speed royal selalu sih,1
ichida d Mulyadi,2023-06-20,semakin sini semakin banyak update semakin lambat sama tim nyah juga capur semakin kalah terus banyak nyah bronze gabungin sama master cs rank sudah kacau sekarang mah update nyah semakin ngelag terus bukan nyah lancar berguna ff nyah sudah sini enggak ramai banyak ngelag sama patah saya kecewa sama garena sekarang enggak seperti dulu rindu seperti dulu,1
Carel,2023-06-20,saya punya kendala saya temu bug pada setiap icongambar pada tombol itu bisa hilang dan menggangu saat sedang perang besar saya juga sering ada kendala lain saat sinyaljaringan saya tiba-tiba merah tanpa sebab sinyal akan jadi bagus kembali atau akan merah terusmensrus sampai harus keluar dan masuk permainan free fire untuk selsaikan saya mohon segera baik,3
Raka angel bastian,2023-06-20,aneh semakin kesini semakin aneh banyak akun yang kena suspend padahal tidak pakai apa banyak yang kena blacklist juga permainan rusak Hanya update yang dipikirin bug juga tidak perbaiki aduh memang rusak ini permainan,1
Panca Bekti,2023-06-20,tidak bisa buat permainan iya tidak usah buat tolol pas main cs rank tim nya bot musuh nya semakin pro bagaimana sih bug tidak segera fix pula skin elite benarkan bug sulit game bodoh,1
Rangga R,2023-06-20,garena kli stiap lagi main banyak bug nya terus sinyal tidak keluar kalau lagi main ff biasa main ml tidak begitu,1
Julianz Gaming,2023-06-20,updatenya tolong bundlenya seperti dulu kewes jangan terlalu anak anak kecil lah banyakin gratis biar semakin betah main ff karena bukan anak kecil saja yang main permainan ini tolong garena baik masalah matching yang sering lama dan terkadang gagal masuk pdahal signal bagus terima kasih,5
Amak Wahyu,2023-06-20,hi garenadi sini saya mau utara kecewa saya dalam main permainan free firee initolong anda jeli dan teliti nilai palyerharusnya anda tahu gamenya seperti apa soal jaringanmasak honor saya rangin terus dan dapat main dalam mode cs rank atau br rankpadahal masalah sinyal lohbukan saya keluar paksa atau gimanatolong depan lebih perhatikanharus bisa beda orng yang jaringan nya atau sebaliknyamaaf saya paksa tarik star yang saya kaisikan jadi,1
NAUFALNABIL NIDA,2023-06-20,garena sih saya bl saya Hanya pakai script anti patah padahal hl saya lumayan bagus baru beli saya tidak betah main ff patah tolong atur supaya ff lebih ringan  luar sana banyak anak yang banting hp karena patah patah saat main ff karena apa karena itu ff permainan berat kalah sama ml ff banyak efek tidak berguna tolong rangin supaya mereka pada luar sana tidak pakai script anti lag dan supaya tidak kenal bl sembarang,1
Agus Fakih,2023-06-19,sudah update kenapa ff saya sering keluar sendiri toh halo bagaimana garena banyak bug jaringan dan lambat pada permainan jaringan stabil kenapa hubung jaringan otomatis terus tolong admin baik,1
Mohammad Abil,2023-06-19,garena tolong baik gemenya padahal jaringan saya baikaja kok kenapa bisa pata ya kalau bilang masalah ram saya gede pas saya buka game lainnya kok ngaa patasi itu saja s kalau bisaa segera baik iya,3
Nuub Tzy,2023-06-19,free fire sekarang banyak lag sepet lag jaringan saat main saya nyman dengan jaringan sya pdhal jrngan saya bagus mohon baik,2
laila juwita,2023-06-19,tolong baik bug ini masa jaringan saya stabil tetapi gloo wall masih delay Sekali tolong baik,3
Daffa dzakiyan maliki,2023-06-19,saya mau garena buat kalok sinyal jelek jangan keluar paksa karena waktu main sistem suruh keluar sendiri padahal saya tidak paksa memang buat permainan seperti begini kah kalok main,1
Leoxy Kairi,2023-06-19,tambah stabilisasi sinyal ketika saya buka permainan atau aplikasi lain lag dan lancar ketika saya buka free fire selalu lag update yang sangat takjub saat ini hanya saja jangan lupa untuk perhati bug yang ada,1
ʀɪᴠᴀɴ,2023-06-19,beberapa sistem terlalu rugi player tidak tahu karena sinyal tiba drop saat main rank dan keluar lob tapi tidak bisa masuk tapi kena sanksi poin terlalu tinggi cs clasik benar kasih team yang randem dan beda jauh dari segi rank yang buat player banyak afk fitur tidak berguna yang buat gameplay jadi berat sistem spin bukan berguna untung semakin harus spin banyak munggkin agar dapat item utama sudah ada rasa pertarungan royal,2
Samuel Sipayung,2023-06-19,game buruk anjay game yang hanya penting update saja dan sering jadi gagal main padahal jaringan nya bagus dan reflek gloowall saya cepat dan itu pun mati tidak mengerti lah lihat garena pesan untuk garena anak ngen tod kalau mau update lihat dulu game yang lain ya garena anak ngen tod,1
Ersa Hidayat,2023-06-19,tolong baik bug sinyal lah update elit bug sulit,2
Mulyadi,2023-06-19,semenjak update game ngepngep semakin bodoh bukan nya senang semakin buat emosi sudah begitu banyak bug bodoh bang senjata sama loutingan semakin hilang tidak bisa gambar nya jaringan nge lambat terus apa lagi saat war gambar map nya hilang gimana mau tahu nya musuh tembak dari mana kalau map nya nge hitam mah bodoh sudah begitu gambar darah nya hilang lagi bodoh percuma ngapdet glowal nya hilangin juga sudah mah coldown nya lama lagi kamu ubah lagi itu seperti yang dulu saja yang mudah temuin,1
Kuntul Kintil,2023-06-19,saya kecewa sama permainan semakin sini semakin lama jaringan saya padahal kalau lihat youtube lancar kalau masuk permainan pasti jaringan iya tolong lah benarkan,1
Sikumbang Ujang,2023-06-19,permainan nya bagus tapi masalah jaringan bagus tapi permainan jelek tolong lah garena,2
Palepale 123,2023-06-19,pakai grafik standar lihat skin punya musuh atau teman padahal sudah download semua data tolong betul,1
Aditya Suharno,2023-06-19,ff semakin jelek saja sekarang gampang heck tolong baik garena bagaimana cara suapaya tidak gampang heck org akun saya sudah hilang s s sama s heck semua tidak jelas malas kalau rintis dari awal mnding main permainan lain,1
Rangga Ibrahim Setiawan,2023-06-19,tolong baik bug saat ada permainan keluar sendiri tapi terang afk atau keluar paksa tolong dengan sangat garena baik bug sebut,5
Azril Patapa,2023-06-19,hey garena setiap abdetannya pasti ada bug yang tambah keluar dari permainan tanpa salah honor skor yang turun tanpa ada salah apa dan bug dage coba hapus bug nya kalau begini teruss maka player ff akan kurang dan permainan lain akan tambah playernya saya bagai player ff ingin minta tolong hapus bug nya,1
Revhano Ahmad,2023-06-19,saya hanya bisa kasih bintang  karena masih banyak bug bug damage dan setiap kalau update free fire semakin kurang tarik dan seru untuk main kan bagi saya dan teman semoga garena bisa baik free fire mula lagi aku mau uninstall saja free fire garena sudah tidak jelas update nya tidak semakin bagus semakin semakin jelek event juga jelek tidak seru pokok nya,1
Dani Ardiansyaah,2023-06-19,iya kenapa pakai dpi semakin hp jadi frame saat main gilir tidak pakai dpi kenapa semakin lancar saja tolong iya baik lagi saya sudah sangat emosi sama permainan,1
Nior Jelsen naldo,2023-06-19,parah ini garena update terus terus kok jaringan semakin hancur apa ni jadi kecewa sma garena bintang tiga dulu lah klo jaringan suda bagus baru beri bintang lima deh,3
Umi Mustaningrum,2023-06-19,aku malas karena aku tadi main cees team aku mah bot tapi kalau team lawan pro malas manding pensiun kalau main cees tidak seimbang sudah mau diamond pasti musuh pro tapi habis nurun tiba musuh bot aku jadi malas ngepush cs rank kalau musuh seimbang aku pasti sudah heroic aku kasih bintang iya karena itu tolong lah perbaiki terimakasih yang aku sampai semoga baik,1
Ririn Lestari,2023-06-19,semakin update semakin tidak jelas tiba gamenya delay sangat ada bagi controller yang hilang dan semakin update semakin jelek seperti eek,1
tole tole sepele,2023-06-19,mohon devoloper garena saya sering alami bug kurang keredit kor padahal tidak afk tolong baik terima kasih,1
Efert Melmam,2023-06-19,sih setiap kalau upgrade jaringan kalian masalah begni masa internetan lancar main tolong baik dan bantu saat kustomer minta bukan diam saja gmna sih kecewa skli,1
Catur Novian,2023-06-19,permainan anjing pasti saat saya ngepus cs satu bintang master pasti minus selalu begitu sudah tidak seimbang temen gu selalu beri bot anjing lah sudah tidak bisa keluar paksa main cs pikir kita mau mabar tunggu mau keluar tidak bisa,1
Herman Plani,2023-06-19,tidak bisa main lambat trustolong ya garena bagi orang yang main langsung keluar saat permainan kasih sangsi klo bisa bulan dia tidak bisa main biar yang suka keluar permainan tahu bahwa permainan bukan dar permainan biasa permainan lain dan sudah update banyak bug yang muncul utk fiturnya bagus bisa di tahan tolong ya garena ntar kalau sudah ada baik saya kasih bintang malah terima kasih,1
Krisna Adhitya,2023-06-19,ada bug resah kan yaitu bug sinyal lancar saja tapi saat looting semakin sinyal nya tolong benarkan iya untuk garena itu saja sih nanti kalau sudah perbaiki saya beri bintang lima salam dari free fire by free fire old by,4
Game buriq,2023-06-19,anjing ah tadi bisa login eh saat login ulang jaringan error selalu tidak bisa masuk kouta masih ada semakin sudah pakai wifi masih saja error selalu kamu itu niat gas developer garena jangan Hanya mo uang selalu kamu tunggu saja kalau ini permainan semakin kesini semakin ngeruggin orang banyak tunggu saja kamu bakal ada beberapa tahun,1
Aditya Ramadhan,2023-06-19,garena kenapa saat main cs ranked ngelag tiba tiba keluar sendiri terus honor skor nya kurang padahal karena karena ngelag,1
lusia tri erowadanti,2023-06-19,bagus tapi kesal banget musuh pro temen se tim semakin baru main jadi susah main kalau ngasih tolong yang sama prolumayan iya soal resah aku jadi mins saat main cs,4
Bejjoe ahay_uhuy,2023-06-19,permainan semakin tidak jelas sudah seperti pasar isi bug melulu update yang sia sia map suka hilang aim tidak jelas damage tidak sesuai semakin tidak kreatif seperti toko sembako beranta,1
Abd Ramdan Hanafi,2023-06-19,banyak bug nya salah satu texture control banyak yang hilang mohon segera fix,1
wahyu Andika,2023-06-19,saya Hanya mau bilang kalau permainan colab dengan anime harus atur jangan lebih kasihan para anime lovrs lainnya,1
Nabila Kaila Azkia,2023-06-19,tolong garena jangan asal blacklist atau suspend akun orang akun saya pernah yang nama laku cheat config regedit dan lain nya bahkan teman atau orang random yang saya jumpa pernahtidak temu ada aktifitas cheat saya benar benar kecewa sama garena yang sekarang,1
Cullenライッサ,2023-06-19,saat mau login kenapa ada baca salah jaringan error padahal jaringan hp saya masih bagus,1
AL Azis,2023-06-19,tolong lah masalah jaringan masa saat ketemu musuh jaringan,1
MuhRaffy Baco189,2023-06-19,pada sangat seru tapi seru karena banyak update tapi cheat rege dan bug senjata hilang atau lihat,5
Anuek Aceh,2023-06-19,saya sangat heran dengan garena ada apa dengan garena banyak kalau bug dan lain lain dan akun bisa suspend oleh garena tanpa sebab padahal saya tidak ngechit dan enggak confic saya sangat heran tolong baik cukup sekian terima kasih,5
Salwa Salsabila,2023-06-19,kenapa sekarang beda iya saya tidak bisa masuk akun utama padahal habis ganti foto frofil akun saja  tolong dong garena baik please sudah,3
Ego Putra,2023-06-19,selesai update sekarang semakin banyak janggal nya skill aktif ketika main jadi banyak padahal kita cma makek satu dan juga bisa sama knock mohon di baik garena gmna org tidak pensiun main nya jika permainan nya seperti begini,1
Al Keanu,2023-06-19,saya kasih bintang karena bug micnya tidak bisa benarkan jadi saya tidak bisa ngobrol bareng dengan teman saya,3
Muhammad Ilham,2023-06-19,tolong garena sinyal nya baik dan bug nya hapus,1
Ari Sunggara,2023-06-19,halo admin iya kok saya game saya layar jadi item ada gambar nya item semua padahal device hp saya oppo as ram mohon jelas admin,1
RADEN BRAMA ZENEDI,2023-06-19,bug atau apa sih data saya download ulang selalu sudah update mb parah anjing,1
setiawan andris,2023-06-19,tambah ra jelas permainan e banyak sekali bugnya aduh pie to kih dan garena tampil saja bagus masalah bug tambah banyak konyol ini saya main dari season sampai sekarang tapi semakin enak permainan yang versi lama,1
Fadil Serdang,2023-06-19,garena kenapa permainan lag padahal buat buka aplikasi apa saja bisa lancar tolong baik,1
Rafi Rohman,2023-06-19,bug jaringan paling resah dan ganggu sangat padahal saya pakai wifi kantor dan plus jaringan saya nyalain juga saat war ngebug selalu sampai sampai pernah terjun dari pesawat balik pesawat terjun balik sampai tiga kalau wkwk,1
Nizam Ali,2023-06-19,sudah diupdate semakin tambah banyak bug aneh sinyal nya bagus tapi tidak bisa masuk ff nya tolong baik semakin dapat tim tidak seimbang bdh brurik,1
Sitie Nurhasanah,2023-06-19,ff semakin tidak seru main clas squad dapat main rank nya bronze semua musuh terlalu susah kalah kan spin dapat nya trial selalu saya rank nya silver tapi musuh nya master permainan terlalu berat mode terlalu sedikit naikin rank susah naikin level terlalu lama exp kurang banyak hp ram patah patah apalagi ram ngiras memori musuh lincah lincah sudah sih itu saja mohon baik iya garena dan pekejakan kulgar tanpa kulgar ff tidak seru,2
Andra Ramadhan,2023-06-19,admin free fire semakin kesini minesny banyak pertama masalah jaringan beberapa hari saya sangat kecewa karena setiap mau main selalu lagdri lootingny yang deelay ngekil musuh deelay dan kita mati dari masang glowal dan akhir mati karena barusan pasang dan lain padahal sinyal saya bagus tolong admin kenapa semakin mengecewakanmohon tindak lanjut,1
Muhammad Abdillah,2023-06-19,tolong maksud nya apa kenapa sekarang mulai jaringan lambat saat tempur dan sering saat tim dan musuh tim jago dan saya tidak jago tolong baik dan jika update pun mengaruh lambat dan bug dan itu malas saya main permainan dan semakin banyak bug sudah update jelek pensiun ae dari pada main permainan bur,1
Hafiz Putra,2023-06-19,garena please lah kalau mau sign guild itu minimal hari lah aku yang sudah daftar hari kenapa masih tidak bisa claim bug atau apa sih garena tolong baik update lanjut,1
nabil dau,2023-06-19,garenabug apalagi yang kalian buat inhitam semua item co map juga sering hilang hingga musuh tidak lihat,1
Khairil abrar Luthfi,2023-06-19,garena rusak kalau banyak kalau bug dan kalok main tolong lah buat lawan nya yang sama sama jago begitu dan jaringan kalok perang jaringan nya jelek saat tidak perang jaringan nya bagus tolong lah garena baik,1
Farrel Athaya,2023-06-19,saya main kan emoji nya saya sudah beli tapi suruh beli mohon baik dan kalau main senjata atau metkit saja hilang tidak ada gambar,4
Moses Riyadi,2023-06-19,ini permainan ktl sangat iya masalah jaringan la bug la semu titid kalau bisa pun permainan saya kasih tengah bintang asw update terus tapi permainan nya semakin seperti titid asw kli garena ini saya saranin yang mau download tidak perlu download nanti nyesal kamu permainan seperti ktl,1
Aufar Narendra,2023-06-19,sudah update makin banyak bug atau nge lag tolong baik,1
Bang Bang,2023-06-19,permainan tidak jelas saya saat main permainan sinyal auto lek kolo buat main kenap saat tidak ketemu musuh sinyal baik dan ketika ketemu musuh sinyal jelek dasar game haram game sinyal iya tolong baik garena kon siyal nya cok baik lah anjing siyal le gek endang baik cok,1
Donny wardhana chenel,2023-06-19,permainan keren tapi sayang nya mas ada bug contoh saya main rangk terus senjata hilang seperti tidak Pakai mohon fix dulu iya soal sayang sayang permainan kan ramai jadi kalau banyak bug pasti resah tapi saya tetap support garena,5
Hafidz Asad,2023-06-19,oi garena sekarang kenapa banyak bug sih yang paling parah kenapa akun saya kena black list padahal tidak pernah pakai chitconfig aku itu main murni training banyak chit saat main rank tidak masuk saat main cs rank musuh nya ada yang grand master semakin update semakin aneh tolong baik server nya agar semua tidak black list,1
19_m. Andika Putra,2023-06-19,bug jaringan ros kalau mau main jadi ganggu gilir lihat tiktok lancar buat main semakin  minimal benarkan,1
Arez Dael,2023-06-19,jarinangnya dari dl sampai skarang ngelag terus saat ketemu musuh padahal selalu update,1
Fatchul yusuf,2023-06-19,developer ada bug analog nyasar tombol sprint untuk keluhanya saat direset masih saja seperti begitu tolong devolover perbaiki bug sebut terima kasih,1
Rian Gultom,2023-06-19,wah game nya bagus bisa main hape samsung ram jangan mau sampai game lain peringkat agar game ejek terimakasi,5
Yehezkiel Nugroho,2023-06-19,gamenya bagus Hanya saat war selalu ping merah padahal jaringan sangat lancar sangat rugi player apalagi ada yang main br ranked,3
Dika Saja,2023-06-19,permainan apa sinyal sudah stabil tapi permainan nya lag kalau ketemu musuh  entah kenapa kalau buka tik tok lancar sangat tapi kalau login be sinyal nya langsung hilang permainan bocah kalau tidak baik saya uinstal saja ini aplikasi,1
Ahmad Dhany,2023-06-19,tolong baik masalah bug jaringan ping saya sudah bagus mentok ms tapi saat nge looting delay parah jika terus semua player akan pindah permainan,2
Yuda Nr,2023-06-19,garena sekarang sangat adil sekarang jika ingin milik skin harus sekali pakai diamond padahal dulu sering ada bundle gratis dan ingat permainan pay to win jika kalian berguna skin senjata evo damage dari senjata evo sangat sakit sedang jika ingin senjata evo mungkin bisa keluar uang besar juta atau juta dan banyak akun yang tidak pakai cheat biasa entah kena suspend padahal tidak pakai cheat tolong garena jangan buat permainan pay to win,2
Star Platinum,2023-06-19,beri saitamanya ikut buriq cpk juga request time out selalu padahal jaringan bagus coba yt enak tiktok kgk lag eh request time out mlu hadehh,1
A nabil Baihaqi,2023-06-19,jaringan saya buka aplikasi seperti tiktok instragram lancar aja tapi saat main ff ping sumpah itu tidak enak bgt gw dari ws jadi losestreak,1
Ali Mukti,2023-06-19,lag masa sinyal bagus semakin keluar sendiri tidak jelas sangat saya turunkan bintang nya kalau sudah benar aku kasih bintang maaf dulu tidak bisa kasih bintang,3
RZ GAMER,2023-06-19,untuk developerkenapa permainan free fire banyak sekali bug keluar dari tanding karena sinyal lag padahal tidak sinyal stabil dllsaya bagai main free fire sangat sesal karena bug bug dan sistem jaringan yang sudah kendali dari permainan harap cepat baik karena sangat sangat sangat menggangu gameplay main lain bukan hanya sayasekali tolong tolong tolong segera baik,1
Theodorronaldmalayki Theodorronaldmalayki,2023-06-19,permainan ff bodoh kalau internetku padahal bagus tiba tiba tidak bisa masuk permainan tolong baik iya,1
Saepulah Game,2023-06-19,saya kasih bintang karena sinyal itu itu suka patahemang sih keren semua tapi yang jadi masalah adalah sinyal tolong baik please dan tolong diamond nya nanti saya kasih bintang please saja,4
Gabriel Eedic,2023-06-19,maaf garena aku beri bintang soal saat permainan itu bugnya banyak sekali saya harap bug itu hapus dari permainan ff karena itu sangat menggangu saat kita war terkadang senjata hilang tidak lihat musuh tembus glowal dan banyak saya harap itu hapus terima kasih,3
Endrik Sulistiyono,2023-06-19,garena anjing saya keluar tiba tiba terus kredit score saya kurang dan rank saya turun iya tolong jelaskandan juga glowal saya selalu delay saat main permainan ep ep,1
Muhammad Ridho Firdaus,2023-06-19,sudah ada nya update ini semakin ada bug nya semakin ganggu bug nya terkadang map nya hilang hitam semua di nya hilang juga setiap main itu bug nya sering muncul jadi tolong perbaiki bug nya biar mudah,1
ཌꜰᴀʀʀᴇʟད,2023-06-19,ketika main selalu beri jaringan merah sehingga buat main jadi kalah tolong cepat mungkin baik,1
Yuan Zanetti,2023-06-19,permainan bagus tapi buat dapat banyak diamond harus top up item yang lain juga jadi aku kasih bintang empat dulu kalau sudah bisa tanpa top up aku kasih bintang lima,4
Reyvino Derriel,2023-06-19,tolong permainan nya baik banyak bug,2
Selly Sell,2023-06-19,bisa baik kah permainan nya sudah turun banyak naik dikit banyak cheater dan musuh nya lebih pro dari kita harus nya musuh nya setara tolong baik,1
Raihan Setiawan,2023-06-19,gamenya ngebug sering tidak pencet glowal nya update terus tapi banyak bug nya,1
Salsabilla,2023-06-19,garena ini semakin lama semakin semakin iya orng jaringan Bagus mke wifi lagi masih saja ngelag kalau tidak ngelag iya patah mn lagi main rank sudah nyoba kirim lapor masalah jaringan tetap saja tidak bis please garena tolong la kasihan player mau ini sudah naikin rank susah eh ngelag terus jadi nurun rank nya,4
Nisa Sari,2023-06-19,sinyal suka lambat lir saat sudah mati sinyal biasa saja terus suka nge bug cpe sangat main jadi susah,1
Efri Dani,2023-06-19,harap karakter kita itu hilang kotak kotak yang bisa ganggu pandang kita apalagi kalau sedang war,5
Jsj Nnwjw,2023-06-19,update terus tapi banyak bug banyak player yang ban tanpa sebab,1
Aldy ansyah,2023-06-19,seru tapi  slow respon saya sudah report bug tapi ada tanggap ada player yang pakai cheat ban hanya kredit score saja sungguh keren server nya saya main cs rank diamond temu di engan tim rank gold,2
Balian Putra,2023-06-19,permainan nya sudah bagus tapi sayang masih ada bug dalam gameplay nya yang paling parah bug damage saat kita sudah masuk rumah kita masih dapat damage dari musuh sangat sebal saya main sudah headshot kalau kalau masih saja musuh belum mati gilir musuh tembak kita kita masuk rumah tetap terima damage,2
hp nemok,2023-06-19,permainan yang sanggat buruksemoga semakin turun ratingnyatop up banyak diamond untuk beli sekin senjata nyata dage samjanggan sampae top upayo tinggal permainan dan alih permainan yang lainmlpubg,1
Danzz,2023-06-19,admin saya cinta tolong benarkan sinyal kalau sudah update kamu kalau tidak bisa benarkan sinyal kamu mati saja lah,4
Surya Gaming,2023-06-19,semakin update bukan semakin bagus semakin tambah burik udah bug mana mana lag baget mungkin sejak garena nya ganti mangkanya tambah burik emang taeklah permainan untuk sekarang padahal dulu waktu masih garena nya bang ari masih enak saja tapi sekarang jaringan lama lag sangat permainan sampah klo mau update itu yang betul masa tidak smoot tidak standard lag nya parah padahal sudah pakai wifi emng bangke ini permainan kalau tangan yang salah anink garena tololjawab dong tidak punya tangan kah,1
Su Man,2023-06-19,saat log ada gambar apa aku mohon segera baik,1
sri kaeksi,2023-06-19,free fire character bot nya kenapa error saya tidak bisa main enak hapus kalau sudah diperbaiki saya kasih bintang,1
KAV UZI,2023-06-19,banyak bug sekarang sbelumnya tambah apdate buka tambah bagus semakin tambah rusak permainan ff tidak jelas,1
Danda Erlangga,2023-06-19,permainan rusak banyak bug nya contoh saat mau main tidak bisa pencet tombol mulai terus ada tulis baca info permainan sering update buka lebih bahus semakin lebih jelek,1
Muhammad Afif,2023-06-19,saya kasih bintang mohon koreksi lagih game nyaa setiap main banyak kendala koneksi ngelag selalu pdahal ping nya,1
Ananda Syafiq,2023-06-19,saya ingin suara lagu lobyy bisa kita pakai sendiri lagu apa serah contoh profil bisa ganti puas tolong iya garena,5
